QUESTIONBANKCODE|QUESTIONCODE|QUESTIONTYPE|QUESTIONTEXT|QUESTIONTEXTFORMAT|QUESTIONFEEDBACK|OPTION|RIGHTOPTION|OPTIONFEEDBACK|ISCORRECT|OPTIONWEIGHT|ISCASESENSITIVE|RANDOMIZEOPTIONS|STATUS
BXMSPAMF|BXMSPAMF0601|1|RHPAM has out-of-the-box reports for the following assets:|||Users and roles|||0|0|||
BXMSPAMF|BXMSPAMF0601|1|RHPAM has out-of-the-box reports for the following assets:|||Data models and processes|||0|0|||
BXMSPAMF|BXMSPAMF0601|1|RHPAM has out-of-the-box reports for the following assets:|||Process reports and tasks reports|||1|100|||
BXMSPAMF|BXMSPAMF0601|1|RHPAM has out-of-the-box reports for the following assets:|||Users and tasks|||0|0|||
BXMSPAMF|BXMSPAMF0602|5|Business Central offers process and task reports in a tabular view.|||TRUE|||1|100|||
BXMSPAMF|BXMSPAMF0602|5|Business Central offers process and task reports in a tabular view.|||FALSE|||0|0|||
BXMSPAMF|BXMSPAMF0603|5|Business Central offers export formats for process and task reports.|||TRUE|||0|0|||
BXMSPAMF|BXMSPAMF0603|5|Business Central offers export formats for process and task reports.|||FALSE|||1|100|||
BXMSPAMF|BXMSPAMF0604|1|The following assets are available through the Manage menu:|||Process definitions, process instances, tasks, execution errors,and jobs|||1|100|||
BXMSPAMF|BXMSPAMF0604|1|The following assets are available through the Manage menu:|||Data models, process definitions, forms, and tasks|||0|0|||
BXMSPAMF|BXMSPAMF0604|1|The following assets are available through the Manage menu:|||Jobs, tasks, execution errors, and forms|||0|0|||
BXMSPAMF|BXMSPAMF0604|1|The following assets are available through the Manage menu:|||Process definitions, process instances, tasks, forms, and jobs|||0|0|||
BXMSPAMF|BXMSPAMF0605|5|When a process instance is completed, execution error records are automatically acknowledged.|||TRUE|||0|0|||
BXMSPAMF|BXMSPAMF0605|5|When a process instance is completed, execution error records are automatically acknowledged.|||FALSE|||1|100|||
BXMSPAMF|BXMSPAMF0606|1|The following are statuses for a job:|||Created, ready, reserved, in progress, and completed|||0|0|||
BXMSPAMF|BXMSPAMF0606|1|The following are statuses for a job:|||Created, running, completed, canceled, and error|||0|0|||
BXMSPAMF|BXMSPAMF0606|1|The following are statuses for a job:|||Created, queued, completed, canceled, and error|||0|0|||
BXMSPAMF|BXMSPAMF0606|1|The following are statuses for a job:|||Queued, running, completed, canceled, error, and retrying|||1|100|||
BXMSPAMF|BXMSPAMF0607|5|You can sort process and task reports by clicking the columns.|||TRUE|||1|100|||
BXMSPAMF|BXMSPAMF0607|5|You can sort process and task reports by clicking the columns.|||FALSE|||0|0|||
BXMSPAMF|BXMSPAMF0608|5|You can connect to external data sources to extend the out-of-the-box dashboards.|||TRUE|||1|100|||
BXMSPAMF|BXMSPAMF0608|5|You can connect to external data sources to extend the out-of-the-box dashboards.|||FALSE|||0|0|||
